book_name,writer_name,type,characters
বিজয়নগরের হিরে (১৯৮৯),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  ,  জোজো   ,  মোহন সিং  , জানকী , কস্তুরী  , রঞ্জন  , রিঙ্কু , শর্মাজি , বিরজু সিং "
ভয়ংকর সুন্দর (কাকাবাবু) (১৯৭২),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , ( সন্তু  , আমি ) ,  সূচা সিং , ( স্নিগ্ধাদি  , স্নিগ্ধা ) , ( সিদ্ধাৰ্থদা , সিদ্ধাৰ্থ ) , রিণি , মীর্জা আলি  , গুরুবচ্চন সিং "
সন্তু ও এক টুকরো চাঁদ (১৯৯৩),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  ,  জোজো   ,  কন্ডাক্টর , মা , নাসির হোসেন , নরেন্দ্র ভার্মা , ঠাকুর সিং  , মহিম , ( নুরুল , নুরুলসাহেব ) ,  রোশনি , আমিনা , কতার সিং , এস. পি , সাইমন বুবুম্বা "
"সন্তু কোথায়, কাকাবাবু কোথায় (১৯৯৬)",Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  ,  জোজো   , রামা রাও , নরেন্দ্র ভার্মা , মণিকা , রঙ্গরাজ ,  ভার্গব  , বড়বাবু  , হরেন মণ্ডল , রাজমহেন্দ্রী , রাধা , ( পিটার ,  গোমেজ ) , সুলেমান , বিসমিল্লা "
সবুজ দ্বীপের রাজা (১৯৭৮),Sunil Gangopadhyay,thriller(kakababu),"( কাকাবাবু , রায়চৌধুরী ) , সন্তু  , দাশগুপ্ত , মা  , শঙ্করনারায়ণ , প্রীতম সিং , সাহেব , সিং , কৌশিক , ( গুণদা , বুড়ো রাজা )  "
অচেনা মানুষ,Sunil Gangopadhyay,novel,"কর্নেল সেন , মাধবী, রঞ্জন, মামাবাবু , বড়োবাবু , চৌকিদার, রায়বাবু , করবী, সুখেন, সূরযলাল, হরিনাথ"
অরণ্যের দিনরাত্রি,Sunil Gangopadhyay,novel,"রবি, সঞ্জয়, অসীম, রতিলাল, অপর্ণা, শেখর, জয়া, লখা, অনুরাধা, মিঃ বিশ্বাস, রতন , তপতী, সদাশিব"
এক জীবনে,Sunil Gangopadhyay,novel,"ইন্দ্রাণী , নিশানাথ, দেবেন, অনিন্দ্য, সুব্রত, অরবিন্দ, শিখা, সুখময়, জীবন, মণি, সীমন্তিনী, ভাস্কর, মণীশ, বাসন্তী, নাসিরুদ্দিন, বকুল, দেবযানী, পলা, (ধূতিকান্ত, ধৃতি), নিভা, সাবিত্রী, উমা, সঞ্জয় "
পায়ের তলার মাটি,Sunil Gangopadhyay,novel,"দ্বারিক, বীথি, মা, মহাদেব সাহা, সমর দাস, সোমেশ্বর, ভুতো, ভুবন হালদার, সত্যকিঙ্কর সেন, বলাইকাকা,  আশিস, মলয়,  ভুবন, দিবাকর, গোষ্ঠ ভট্টাচার্য , বিটু, নুটু,  রাজেন, অনন্ত , সুখময়, লীলাবউদি, শশিভূষণ দে "
প্রকাশ্য দিবালোকে,Sunil Gangopadhyay,novel,"ভরত গুপ্ত, জয়ন্ত দাশগুপ্ত, গণেশলাল , ছবি, শোভনকুমার , আসিফ, ( দীপু ,দীপাঞ্জন), শান্তা , রতন , উজ্জয়িনী, রঘুনন্দন, ব্রীজমোহন, আত্মারাম, সুগত, স্বরূপা "
মনে মনে খেলা,Sunil Gangopadhyay,novel,"ধূর্জটি, সুপ্রিয়া, অমল , দীপংকর, সরলা , রণজয়, দিলীপ, বনানী, প্রতুল , স্মৃতিকণা"
মনের মানুষ,Sunil Gangopadhyay,novel,"(কবিরাজমশাই, কবিরাজ), জগাই , যদু, বীণা, নকুলেশ্বর,  লালু , পদ্মাবতী , গোলাপি, মানিকচাঁদ, রাবেয়া, ফকির, গুপি , তাহের,  কালুয়া , লালন , কাশেম, দোলাই, কমলি, দুদ্দু, হরিনাথ, মীর, ভানুমতী, কমলি, সিরাজ, মনসুর, মিজান, শীতল"
রানু ও ভানু,Sunil Gangopadhyay,novel,"রানু, জলধর সেন , বেণীমাধব অধিকারী, ফণিভূষণ , বীরেন , কবি, বেলা, রথী, প্রতিমা, ভক্তি, সুকুমার, শরৎচন্দ্র, জলধর , চিত্তরঞ্জন , অ্যান্ড্রুজ, এল্‌মহার্স্ট , সত্যেন, অবনীন্দ্র, সমরেন্দ্র, মীরা "
চলে যায় বসন্তের দিন (২০০২),Humayun Ahmed,novel (Himu)," ( আমি ,  হিমু , হিমালয়) , ( মাজেদা খালা ,  খালা ) , খালু , জহির  , ফুলফুলিয়া , ( শমসের উদ্দিন ,  খাঁ সাহেব ) , ওসি সাহেব , আব্দুর রহমান  "
তোমাদের এই নগরে (২০০০),Humayun Ahmed,novel (Himu),"( আমি ,  হিমু , হিমালয়) ,   রূপা , জয়নাল সাহেব , ( ফরিদা খালা , খালা  ) , আশা , বদরুদ্দিন , আবুল কালাম , রেহানা , সফিক , হাসান , ওসি সাহেব  "
দরজার ওপাশে (১৯৯২),Humayun Ahmed,novel (Himu),"( আমি ,  হিমু , হিমালয়) , বায়েজিদ সাহেব , বসিরুদ্দিন সাহেব , ময়নার মা’  , রফিক ,  ( মোবারক হোসেন , ব্যারিষ্টার সাহেব ) , তিতলী , জহির , ওসি সাহেব , মবিন , রুপা , বড় ফুপু , বাদল ,  ( বড়ফুপা , ফুপা ) , জহিরের মা , যূথী , বাবু , সেতু  "
পারাপার (১৯৯৩),Humayun Ahmed,novel (Himu),"( আমি ,  হিমু , হিমালয়) , আলেয়া খালা , খুকি , ( ইয়াকুব আলি , ইয়াকুব সাহেব ) , মইন , নার্স , ড্রাইভার , খালু , ( খালা , বড়খালা  ) , একলেমুর মিয়া , ( দবির খাঁ  , দবির মিয়া ) , ( ময়নার মা , কইতরী ) , সিরাজ মিয়া , মনোয়ার উদ্দিন , ( বদরুদ্দিন , মুনশি ) , পলিন , মিতু , ছামছু , রূপা , ওসি সাহেব , কুসুম "
ময়ূরাক্ষী (১৯৯০),Humayun Ahmed,novel (Himu),"( আমি , টুটুল , হিমু , হিমালয়) , রূপা , বড়ফুফু , স্যার , বাদল , ( বড়ফুপা , ফুপা ) , ওসি সাহেব , রিনকি , এন্তাজ , মীরা , বুড়ো , লালটু , বাবা "
হিমু (১৯৯৩),Humayun Ahmed,novel (Himu),"( আমি ,  হিমু , হিমালয়) ,  রুপা , এষা , মোরশেদ , ইয়াদ , মজনু মিয়া , মোস্তফা , মুহিব সাহেব ,  নীতু , বাবা  , ইরতাজুল করিম , ( বড়ফুপা , ফুপা ) , বাদল , তুলসী  "
হিমু এবং হার্ভার্ড Ph.D. বল্টুভাই (২০১১),Humayun Ahmed,novel (Himu),"( আমি ,  হিমু , হিমালয়) , ( মাজেদা খালা ,  খালা  ) ,  খালু , বল্টু , ডিজি সাহেব , পিএস , হুজুর  , সালমা , তুতুরি , শর্মিলা , জহির , পরিমল "
হিমু রিমান্ডে (২০০৮),Humayun Ahmed,novel (Himu)," ( আমি ,  হিমু , হিমালয়) , ( মাজেদা খালা ,  খালা ) ,  খালু , কবীর  , ( আয়না মজিদ , মজিদ ) , সুষমা  , বাদল  , হাবীব  , শোভা  , খোকন , বকুল "
হিমুর দ্বিতীয় প্রহর (১৯৯৭),Humayun Ahmed,novel (Himu),"( আমি ,  হিমু , হিমালয়) ,   রূপা ,  ( মেজো ফুপা , ফুপা ) , ফুপু , বাদল , আঁখি , ইসমাইল , বগার মা , ফারজানা , কাওছার মিয়া , ( ওস্তাদ ,  মোফাজল ) , ( শাগরেদ , জহিরুল ) , মীরা , আশরাফুজ্জামান , মিসির আলি , ইয়াসমিন , সাদেক , সুলায়মান ,  নীতু , বাঁধন , রশিদ , ময়লা-বাবা "
হিমুর নীল জোছনা (২০১০),Humayun Ahmed,novel (Himu)," ( আমি ,  হিমু , হিমালয়) , ছামাদ , ( মাজেদা খালা ,  খালা  ) ,  খালু , ( ওসি সাহেব , নাজমুল ) , আফতাব , কেয়া , খেয়া ,  গফু ,  ফারুক , ময়না ,  রিনকি , কংকন "
অনীশ – মিসির আলি,Humayun Ahmed,novel (Misir Ali),"মিসির আলি , ( সুস্মিতা , সিস্টার ) , ডাক্তার সাহেব ,  ( আসমানি , বুড়ি , রূপা ) , বজলু  , রুমা , জয়নাল "
অন্য ভুবন – মিসির আলি,Humayun Ahmed,novel (Misir Ali),"মিসির আলি ,  রেবা , ( বরকতউল্লাহ্  , বরকত ) , তিন্নি , নাজিম , রহিমা , জাবেদ , অমিতা , নীলু"
আমিই মিসির আলি,Humayun Ahmed,novel (Misir Ali),"মিসির আলি , লিলি , সালমা , সুলতান , বরকত , অশ্বিনী বাবু , ইদারিশ "
দেবী – মিসির আলি,Humayun Ahmed,novel (Misir Ali),"মিসির আলি , রানু , আনিস  , ( নীলু , নীলুফার ) , জাহিদ সাহেব , বিলু  , অনুফা , জালালউদ্দিন , জিতু "
নিশীথিনী – মিসির আলি,Humayun Ahmed,novel (Misir Ali),"মিসির আলি , রানু ,  ( নীলু , নীলুফার ) ,  ফিরোজ  , আজমল , (নাজ , নাজনীন ) ,  ( হানিফা ,  ইমা ) , করিম সাহেব  , সাইদুর রহমান , জাহিদ সাহেব  , বিলু  , সাজ্জাদ  , ফরিদা  , ওসমান সাহেব  ,  জহুরুল , মতিয়ুর রহমান  ,  আকন্দ  "
নিষাদ – মিসির আলি,Humayun Ahmed,novel (Misir Ali),"মিসির আলি ,  ( মুনির  , টুলু  ,  টুনু  ) ,  ( নুটু  , ফুলেশ্বরী ) , নিবারণ , মল্লিক , ( নিজামুদ্দিন , নিজাম সাহেব )  , কাদের সাহেব  ,  বিনু  , নীলু  ,  সোবহান সাহেব   "
পুফি – মিসির আলি,Humayun Ahmed,novel (Misir Ali),"মিসির আলি , জোয়ার্দার , অনিকা , সুলতানা , রঞ্জু , খালেক , তুহিন , তুষার , জামাল , শায়লা , শামা , রশিদ , ( বরকতউল্লা , বরকত ) , করিম "
বাঘবন্দি মিসির আলি,Humayun Ahmed,novel (Misir Ali),"মিসির আলি , ইয়াসিন , ( ফতে মিয়া , ফতে ) , লুনা , ফজলু , ( বদরুল , বদরুল সাহেব  ) , প্রতিমা , তসলিমা "
বিপদ – মিসির আলি,Humayun Ahmed,novel (Misir Ali),"মিসির আলি , ( আফসারউদ্দিন , আফসার সাহেব ) , মীরা , কুদ্দুস , সুমী , রুমী , মহসিন , নাজিম , ইসহাক সাহেব , মজনু  "
হরতন ইশকাপন – মিসির আলি,Humayun Ahmed,novel (Misir Ali),"মিসির আলি , মনসুর , ( রেবু , রাবেয়া ) , আজমল , আঁখিতারা , ( হুজুরে কেবল , পীর ভাই ) "
অরক্ষণীয়া,Sarat Chandra Chattopadhyay,novel,"অতুল , ( দুর্গামণি , মেজমাসিমা , দুর্গা ) , জ্ঞানদা , গোলোকনাথ , ( স্বর্ণমঞ্জরি , স্বর্ণ ) ,  ( অনাথনাথ , অনাথ , ঠাকুরপো ) , প্রিয়নাথ , নীলকণ্ঠ , ছোটবৌ , শম্ভু  , মামী , দাশু , ( আদরিণী , পিসিমা ) , মাধুরী , গোপাল"
